正品(大),金萃油,仙人掌籽超能量金萃油 15ml (2027-07-30)
正品(大),金萃油,仙人掌籽超能量金萃油 15ml (2028-09-02)
正品(旅),金萃油,仙人掌籽超能量金萃油 5ml (2027-05-10)
正品(體),金萃油,仙人掌籽超能量金萃油 1.5ml (2025-09-28)
正品(體),金萃油,仙人掌籽超能量金萃油 1.5ml (2026-05-29)
正品(大),金萃油,摩洛哥堅果賦活金萃油 28ml (2027-04-08)
正品(大),金萃油,摩洛哥堅果賦活金萃油 28ml (2027-10-08)
正品(旅),金萃油,摩洛哥堅果賦活金萃油 5ml (2026-09-30)
正品(旅),金萃油,摩洛哥堅果賦活金萃油 5ml (2028-07-22)
正品(體),金萃油,摩洛哥堅果賦活金萃油 1.5ml (2025-09-28)
正品(體),金萃油,摩洛哥堅果賦活金萃油 1.5ml (2026-05-29)
正品(大),超級複方油,超級複方油 玫瑰煥顏 28ml (2027-04-10)
正品(大),超級複方油,超級複方油 玫瑰煥顏 28ml (2027-10-08)
正品(旅),超級複方油,超級複方油 玫瑰煥顏 5ml (2026-09-30)
正品(體),超級複方油,超級複方油 玫瑰煥顏 1.5ml (2025-09-28)
正品(體),超級複方油,超級複方油 玫瑰煥顏 1.5ml (2026-05-29)
正品(大),超級複方油,超級複方油 莓果亮采 28ml (2026-02-20)
正品(大),超級複方油,超級複方油 莓果亮采 28ml (2027-04-10)
正品(旅),超級複方油,超級複方油 莓果亮采 5ml (2026-09-30)
正品(體),超級複方油,超級複方油 莓果亮采 1.5ml (2025-09-28)
正品(體),超級複方油,超級複方油 莓果亮采 1.5ml (2026-05-29)
正品(大),美體極萃油,美體極萃油 保濕透白 120ml (2028-05-08)
正品(體),美體極萃油,美體極萃油 保濕透白 4ml (2028-12-20)
正品(大),美體極萃油,美體極萃油 賦活修護 120ml (2028-05-08)
正品(體),美體極萃油,美體極萃油 賦活修護 4ml (2028-12-20)
正品(大),超能前導精華露,超能前導精華露 鎖水亮澤 120ml (2028-10-16)
正品(旅),超能前導精華露,超能前導精華露 鎖水亮澤 5ml (2026-06-13)
正品(旅),超能前導精華露,超能前導精華露 鎖水亮澤 5ml (2028-04-26)
正品(體),超能前導精華露,超能前導精華露 鎖水亮澤 2ml (2026-09-28)
正品(大),超能前導精華露,超能前導精華露 金燦緊實 120ml (2028-10-16)
正品(旅),超能前導精華露,超能前導精華露 金燦緊實 5ml (2027-10-16)
正品(體),超能前導精華露,超能前導精華露 金燦緊實 2ml (2026-09-28)
正品(大),完美極萃面膜,完美極萃面膜 鎖水能量(五入組) (2028-08-12)
正品(旅),完美極萃面膜,完美極萃面膜 鎖水能量(單片) (2028-08-12)
正品(大),完美極萃面膜,完美極萃面膜 透亮能量(五入組) (2028-08-12)
正品(旅),完美極萃面膜,完美極萃面膜 透亮能量(單片) (2028-08-12)
正品(大),完美極萃面膜,完美極萃面膜 賦活能量(五入組) (2028-08-12)
正品(旅),完美極萃面膜,完美極萃面膜 賦活能量(單片) (2028-08-12)
正品(大),完美極萃面膜,完美極萃面膜 三日驚豔組(三入組) (2028-08-12)
正品(大),晶鑽極緻潔顏皂,晶鑽仙人掌籽金萃油極緻潔顏皂 120g (2026-10-02)
正品(大),晶鑽極緻潔顏皂,晶鑽仙人掌籽金萃油極緻潔顏皂 120g (2028-05-30)
正品(旅),晶鑽極緻潔顏皂,晶鑽仙人掌籽金萃油極緻潔顏皂 25g (2027-08-23)
正品(旅),晶鑽極緻潔顏皂,晶鑽仙人掌籽金萃油極緻潔顏皂 25g (2028-05-30)
正品(大),晶鑽極緻潔顏皂,晶鑽摩洛哥堅果金萃油極緻潔顏皂 120g (2026-10-02)
正品(大),晶鑽極緻潔顏皂,晶鑽摩洛哥堅果金萃油極緻潔顏皂 120g (2028-05-30)
正品(旅),晶鑽極緻潔顏皂,晶鑽摩洛哥堅果金萃油極緻潔顏皂 25g (2027-08-23)
正品(旅),晶鑽極緻潔顏皂,晶鑽摩洛哥堅果金萃油極緻潔顏皂 25g (2028-05-30)
正品(大),晶鑽極緻潔顏皂,晶鑽絕世番紅花極緻潔顏皂 120g (2026-10-02)
正品(大),晶鑽極緻潔顏皂,晶鑽絕世番紅花極緻潔顏皂 120g (2028-05-30)
正品(旅),晶鑽極緻潔顏皂,晶鑽絕世番紅花極緻潔顏皂 25g (2025-08-29)
正品(旅),晶鑽極緻潔顏皂,晶鑽絕世番紅花極緻潔顏皂 25g (2027-08-23)
正品(旅),晶鑽極緻潔顏皂,晶鑽絕世番紅花極緻潔顏皂 25g (2028-05-30)
正品(大),晶鑽極緻潔顏皂,晶鑽皇家大馬士革玫瑰極緻潔顏皂 120g (2026-10-02)
正品(旅),晶鑽極緻潔顏皂,晶鑽皇家大馬士革玫瑰極緻潔顏皂 25g (2028-05-30)
正品(大),晶鑽極緻潔顏皂,晶鑽金燦薑黃蜂蜜極緻潔顏皂 120g (2026-10-02)
正品(旅),晶鑽極緻潔顏皂,晶鑽金燦薑黃蜂蜜極緻潔顏皂 25g (2027-08-23)
正品(旅),晶鑽極緻潔顏皂,晶鑽金燦薑黃蜂蜜極緻潔顏皂 25g (2028-05-30)
正品(旅),晶鑽極緻潔顏皂,晶鑽煥采活性炭極緻潔顏皂 120g (2026-10-02)
正品(旅),晶鑽極緻潔顏皂,晶鑽煥采活性炭極緻潔顏皂 120g (2028-05-30)
正品(旅),晶鑽極緻潔顏皂,晶鑽煥采活性炭極緻潔顏皂 25g (2027-08-23)
正品(旅),晶鑽極緻潔顏皂,晶鑽煥采活性炭極緻潔顏皂 25g (2028-05-30)
正品(大),晶鑽極緻潔顏皂,晶鑽晶亮黑種草籽油極緻潔顏皂 120g (2026-10-02)
正品(大),晶鑽極緻潔顏皂,晶鑽晶亮黑種草籽油極緻潔顏皂 120g (2028-05-30)
正品(旅),晶鑽極緻潔顏皂,晶鑽晶亮黑種草籽油極緻潔顏皂 25g (2028-05-30)
正品(體),體驗組,鉑翡斯金色減法保養_仙油勻淨體驗組 (2025-09-28)
正品(體),體驗組,鉑翡斯金色減法保養_摩油潤澤體驗組 (2025-09-28)
正品(體),體驗組,鉑翡斯金色減法保養_玫瑰煥顏體驗組 (2025-09-28)
正品(體),體驗組,鉑翡斯金色減法保養_莓果亮采體驗組 (2025-09-28)
包材,品牌Pizza盒,鉑翡斯 PIZZA盒-中 (28.5*23*9 cm)-
包材,品牌Pizza盒,鉑翡斯 PIZZA盒-小 (20*20*7.5 cm)-
包材,品牌紙箱,鉑翡斯三插舌紙箱-大 (38*38*21 cm)-
包材,品牌製作物,品牌紙袋-白 L (40.5*14*31.5 cm)-
包材,品牌製作物,品牌紙袋-白 M (20.5*11*25 cm)-
包材,品牌製作物,品牌紙袋-白 S (14.5*8.5*19 cm)-
包材,品牌製作物,品牌襯紙 (插畫款)-
包材,品牌製作物,品牌信封袋-紅 (12.5*7.5 cm)-
包材,品牌製作物,OPP：精裝盒 (6.9*44 cm)-
包材,品牌製作物,OPP：前導液 (26.1*16.5 cm)-
包材,品牌製作物,OPP：身體油 (27*16.6 cm)-
包材,品牌製作物,OPP：面膜/金色保養體驗卡共用 (13*42 cm)-
貼紙,品牌貼紙,圓形霧面貼 (1*1 cm)-
貼紙,品牌貼紙,圓形霧面貼 (2*2 cm)-
貼紙,品牌貼紙,金色大皇冠貼紙 (5*5 cm)-
貼紙,品牌貼紙,金色小皇冠貼紙 (2*2 cm)-
貼紙,品牌貼紙,皇冠貼紙-雷射紙-
貼紙,中文標,中文標：仙人掌籽超能量金萃油15ml (5.5*4.5 cm)-
貼紙,中文標,中文標：摩洛哥堅果賦活金萃油 28ml (5.5*4.5 cm)-
貼紙,中文標,中文標：超級複方油 玫瑰煥顏 28ml (5.5*4.5 cm)-
貼紙,中文標,中文標：超級複方油 莓果亮采 28ml (5.5*4.5 cm)-
印刷品,DM,202312版_美體油DM-
印刷品,DM,202407版_全產品DM-
印刷品,DM,油保養使用指南小卡-
周邊,品牌製作物,永恆翡儷經典真皮化妝包-
周邊,品牌製作物,潛遊原棉仙人掌托特包 (38*42 cm)-
周邊,品牌製作物,超能量原棉托特包系列-迷你手提 (16*12 cm)-
周邊,品牌製作物,翡翠心語多功能拉提板-
周邊,品牌製作物,永恆經典真皮珠寶盤系列-品牌綠-
周邊,品牌製作物,永恆經典真皮珠寶盤系列-堅果黃-
周邊,品牌製作物,品牌皮套 (綠) 8*8cm-
周邊,品牌製作物,T型按摩棒皮套組-
周邊,品牌製作物,晶鑽手工皂碟-
周邊,品牌製作物,「摩洛藝境」陶瓷杯墊 系列  顏色: 綠底交織紋-
周邊,品牌製作物,「摩洛藝境」陶瓷杯墊 系列  顏色: 綠底金星芒-
周邊,品牌製作物,「摩洛藝境」陶瓷杯墊 系列  顏色: 紅底交織紋-
周邊,品牌製作物,「摩洛藝境」陶瓷杯墊 系列  顏色: 紅底繁花紋-
周邊,品牌製作物,「摩洛藝境」陶瓷杯墊 系列  顏色: 四色花磚紋-
周邊,品牌製作物,「摩洛藝境」陶瓷杯墊 系列  顏色: 白底紅星芒-
周邊,品牌製作物,「摩洛藝境」陶瓷杯墊 系列  顏色: 白底細花紋-
周邊,品牌製作物,「摩洛藝境」陶瓷杯墊 系列  顏色: 萬花繽紛紋-
周邊,品牌製作物,翡翠鎖光玉石滾輪-
周邊,品牌製作物,100%生絲摩洛哥傳統沐浴手套-
周邊,品牌製作物,晶潤柔膚矽膠刷-
